,RegionName,CountyName,all_BR
20,30044,Gwinnett County,354800.46823701874
51,30043,Gwinnett County,405865.6590263091
89,30024,Gwinnett County,584772.0221771087
127,30349,Fulton County,276969.39422109554
154,30040,Forsyth County,572476.1560638868
162,30041,Forsyth County,621001.6266028165
164,30052,Walton County,385101.8857863958
175,30047,Gwinnett County,387478.2325644795
189,30127,Cobb County,363862.8018579812
233,30281,Henry County,304594.37575171725
275,30004,Fulton County,735985.9463429853
278,30022,Fulton County,638592.7538856408
293,30318,Fulton County,394924.3670154668
301,30058,Dekalb County,267093.8122456899
303,30096,Gwinnett County,399416.78775282466
322,30135,Douglas County,323287.7859431886
338,30188,Cherokee County,442034.8846721623
351,30062,Cobb County,520795.9532096127
418,30331,Fulton County,296230.00850339094
423,30144,Cobb County,384283.6634287076
431,30101,Cobb County,428418.3145095263
469,30083,Dekalb County,268281.6517247569
497,30253,Henry County,331879.92194593395
503,30066,Cobb County,431541.5844022962
558,30518,Gwinnett County,450048.3157295156
592,30114,Cherokee County,445738.402127486
659,30075,Fulton County,665606.7352028502
813,30080,Cobb County,490780.6244561977
868,30519,Gwinnett County,459396.1290570553
907,30019,Gwinnett County,449089.08897980227
942,30115,Cherokee County,509067.73129671393
953,30236,Clayton County,272254.25205260515
966,30252,Henry County,384888.7039413866
987,30093,Gwinnett County,308296.29000210366
1019,30064,Cobb County,482526.00429025415
1025,30097,Gwinnett County,703269.3129823668
1079,30039,Gwinnett County,347599.8640433123
1117,30228,Henry County,319816.6212919396
1143,30157,Paulding County,324291.45978252025
1169,30032,Dekalb County,267085.78024048783
1236,30132,Paulding County,375668.37945165345
1301,30067,Cobb County,516146.88001525187
1346,30152,Cobb County,467393.9203506902
1400,30034,Dekalb County,261725.62893243716
1401,30076,Fulton County,555051.5377326574
1448,30213,Fulton County,335182.55231257965
1460,30319,Dekalb County,772471.6961258616
1479,30045,Gwinnett County,391514.0795111011
1513,30134,Douglas County,293158.83070195373
1622,30126,Cobb County,379226.46425548947
1650,30189,Cherokee County,434753.09473971114
1670,30046,Gwinnett County,340791.56476292555
1749,30038,Dekalb County,277296.19351620384
1783,30060,Cobb County,333332.4781936086
1809,30102,Cherokee County,378608.36224274227
1825,30294,Henry County,298461.2225138552
1855,30238,Clayton County,246772.79060029637
1936,30005,Fulton County,722661.7362711121
1939,30084,Dekalb County,386200.23555443966
1941,30078,Gwinnett County,367380.998685832
2078,30215,Fayette County,443676.6930434636
2158,30328,Fulton County,702696.9552269218
2252,30350,Fulton County,754516.345558782
2259,30338,Dekalb County,682617.9714454532
2286,30087,Dekalb County,355868.83815440146
2349,30269,Fayette County,528598.057706039
2436,30274,Clayton County,218031.32905493304
2496,30315,Fulton County,254634.94947958516
2576,30344,Fulton County,255174.2912312328
2712,30008,Cobb County,335714.8157101982
2779,30316,Dekalb County,412253.7719588909
2813,30092,Gwinnett County,560587.1362991623
2856,30094,Rockdale County,322391.5009261656
2908,30260,Clayton County,228995.485464414
3000,30068,Cobb County,644272.6968029045
3163,30342,Fulton County,921261.1802158016
3177,30012,Rockdale County,267564.41319872433
3275,30311,Fulton County,269859.3521966539
3280,30248,Henry County,333254.12940968317
3322,30341,Dekalb County,519775.2696634208
3386,30028,Forsyth County,513748.9578677621
3431,30339,Cobb County,572826.4244047311
3458,30033,Dekalb County,501195.22708822374
3473,30324,Fulton County,678181.8313805297
3541,30030,Dekalb County,672308.0139305502
3668,30340,Dekalb County,378311.6862483281
3733,30214,Fayette County,382151.6437941725
3745,30122,Douglas County,280317.5279651249
3808,30088,Dekalb County,252543.60614781812
4039,30310,Fulton County,293350.7285881945
4148,30071,Gwinnett County,350230.3549298402
4237,30329,Dekalb County,558558.0685456292
4393,30296,Clayton County,250153.3557640616
4424,30141,Paulding County,320721.126494795
4499,30306,Fulton County,1003548.3913876564
4508,30021,Dekalb County,301581.7208896082
4512,30082,Cobb County,455291.6372786903
4515,30017,Gwinnett County,432128.4554845928
4552,30309,Fulton County,916293.3241218976
4561,30305,Fulton County,1104708.9543279847
4668,30297,Clayton County,179329.74350464903
4735,30013,Rockdale County,324808.1901373593
4749,30345,Dekalb County,597226.5595694925
4896,30168,Cobb County,289220.6018235401
5009,30106,Cobb County,308823.7685586147
5078,30655,Walton County,336789.367908011
5131,30312,Fulton County,560479.6068506276
5216,30291,Fulton County,263019.1177764421
5231,30035,Dekalb County,247935.49933811257
5314,30327,Fulton County,1532117.7444675758
5396,30314,Fulton County,245623.58299235665
5556,30308,Fulton County,682720.5608221666
5622,30307,Dekalb County,758322.3757992648
5974,30009,Fulton County,703336.9939303491
6324,30656,Walton County,363117.0374475295
6820,30107,Cherokee County,432741.96703843056
7217,30360,Dekalb County,488469.8012461875
7398,30273,Clayton County,252478.74725060663
7523,30354,Fulton County,233651.58799486377
7942,30317,Dekalb County,550945.5501514856
8466,30337,Fulton County,312018.62948568584
8831,30288,Dekalb County,220453.72194829248
9088,30268,Fulton County,330031.508505473
9259,30025,Walton County,345827.62661638187
9349,30290,Fayette County,498401.3586052535
9578,30313,Fulton County,507717.3155914967
10136,30187,Douglas County,342168.202842799
10413,30326,Fulton County,627393.5213524828
11707,30183,Cherokee County,439348.0161341044
12428,30002,Dekalb County,573815.2587361434
13325,30346,Dekalb County,638070.0689281208
13476,30336,Fulton County,294841.70012927335
14282,30205,Fayette County,534003.9605165707
14318,30079,Dekalb County,308355.6501529506
18005,30641,Walton County,419639.58329980326
18798,30363,Fulton County,463507.55744968186
21691,30072,Dekalb County,296374.7323152141
