,RegionName,CountyName,Date,Index
10,30004,Fulton County,2021-10-31,2089.981553805465
135,30004,Fulton County,2021-11-30,2099.3292331722
260,30004,Fulton County,2021-12-31,2101.586324021359
385,30004,Fulton County,2022-01-31,2109.8730589408656
510,30004,Fulton County,2022-02-28,2131.8296920826647
635,30004,Fulton County,2022-03-31,2156.343194235656
760,30004,Fulton County,2022-04-30,2179.998785538711
885,30004,Fulton County,2022-05-31,2190.5809405931773
1010,30004,Fulton County,2022-06-30,2184.466142607036
1135,30004,Fulton County,2022-07-31,2184.6734278979347
1260,30004,Fulton County,2022-08-31,2172.171975186988
1385,30004,Fulton County,2022-09-30,2152.872041287037
1510,30004,Fulton County,2022-10-31,2157.3386446861423
1635,30004,Fulton County,2022-11-30,2174.7663526677047
1760,30004,Fulton County,2022-12-31,2203.7424695282093
1885,30004,Fulton County,2023-01-31,2225.0019990409214
2010,30004,Fulton County,2023-02-28,2234.161032819694
2135,30004,Fulton County,2023-03-31,2233.6310306482596
2260,30004,Fulton County,2023-04-30,2223.4724472139424
2385,30004,Fulton County,2023-05-31,2222.2233586991983
2510,30004,Fulton County,2023-06-30,2232.4199967230147
2635,30004,Fulton County,2023-07-31,2231.911564524998
2760,30004,Fulton County,2023-08-31,2232.7975596161828
2885,30004,Fulton County,2023-09-30,2231.4722981366463
57,30005,Fulton County,2021-10-31,2136.186522071822
182,30005,Fulton County,2021-11-30,2153.2933653041223
307,30005,Fulton County,2021-12-31,2151.3513576485957
432,30005,Fulton County,2022-01-31,2151.125287218106
557,30005,Fulton County,2022-02-28,2173.608661313954
682,30005,Fulton County,2022-03-31,2194.925739303251
807,30005,Fulton County,2022-04-30,2223.227972226458
932,30005,Fulton County,2022-05-31,2244.6810442307574
1057,30005,Fulton County,2022-06-30,2267.2680487663747
1182,30005,Fulton County,2022-07-31,2251.343591152997
1307,30005,Fulton County,2022-08-31,2228.3744656550316
1432,30005,Fulton County,2022-09-30,2206.2515890482114
1557,30005,Fulton County,2022-10-31,2198.787487722081
1682,30005,Fulton County,2022-11-30,2201.4469155854913
1807,30005,Fulton County,2022-12-31,2221.792815223609
1932,30005,Fulton County,2023-01-31,2249.606914117097
2057,30005,Fulton County,2023-02-28,2252.9947567896884
2182,30005,Fulton County,2023-03-31,2258.381086660797
2307,30005,Fulton County,2023-04-30,2253.366729459983
2432,30005,Fulton County,2023-05-31,2246.0878724352924
2557,30005,Fulton County,2023-06-30,2225.6177701327947
2682,30005,Fulton County,2023-07-31,2213.151579156134
2807,30005,Fulton County,2023-08-31,2210.455914242477
2932,30005,Fulton County,2023-09-30,2211.9349783549783
69,30008,Cobb County,2021-10-31,1627.1694652292863
194,30008,Cobb County,2021-11-30,1648.5585589373131
319,30008,Cobb County,2021-12-31,1691.7554056664983
444,30008,Cobb County,2022-01-31,1689.655183461025
569,30008,Cobb County,2022-02-28,1749.7987614957074
694,30008,Cobb County,2022-03-31,1740.1494918066207
819,30008,Cobb County,2022-04-30,1757.501184053017
944,30008,Cobb County,2022-05-31,1744.9355842521009
1069,30008,Cobb County,2022-06-30,1836.1426308433151
1194,30008,Cobb County,2022-07-31,1885.3773675870168
1319,30008,Cobb County,2022-08-31,1919.9509022784907
1444,30008,Cobb County,2022-09-30,1875.7241661351009
1569,30008,Cobb County,2022-10-31,1854.2793371461587
1694,30008,Cobb County,2022-11-30,1876.97780249514
1819,30008,Cobb County,2022-12-31,1890.1850583080327
1944,30008,Cobb County,2023-01-31,1920.2376786929308
2069,30008,Cobb County,2023-02-28,1894.4267980820043
2194,30008,Cobb County,2023-03-31,1906.682769791722
2319,30008,Cobb County,2023-04-30,1920.79592736708
2444,30008,Cobb County,2023-05-31,1950.076554141867
2569,30008,Cobb County,2023-06-30,1912.6680420199232
2694,30008,Cobb County,2023-07-31,1902.989224980228
2819,30008,Cobb County,2023-08-31,1898.787662166009
2944,30008,Cobb County,2023-09-30,1954.8148148148148
112,30009,Fulton County,2021-10-31,2354.860102654989
237,30009,Fulton County,2021-11-30,2444.2111340697556
362,30009,Fulton County,2021-12-31,2516.912695151914
487,30009,Fulton County,2022-01-31,2548.262009131093
612,30009,Fulton County,2022-02-28,2575.5864018622033
737,30009,Fulton County,2022-03-31,2524.951918588803
862,30009,Fulton County,2022-04-30,2527.7969490795
987,30009,Fulton County,2022-05-31,2501.0505890870736
1112,30009,Fulton County,2022-06-30,2578.209622642129
1237,30009,Fulton County,2022-07-31,2608.75003337329
1362,30009,Fulton County,2022-08-31,2600.1600993762763
1487,30009,Fulton County,2022-09-30,2602.155332740344
1612,30009,Fulton County,2022-10-31,2604.989329885033
1737,30009,Fulton County,2022-11-30,2581.57640273049
1862,30009,Fulton County,2022-12-31,2547.1041768303576
1987,30009,Fulton County,2023-01-31,2547.1715845727695
2112,30009,Fulton County,2023-02-28,2546.8690008206113
2237,30009,Fulton County,2023-03-31,2610.255878522409
2362,30009,Fulton County,2023-04-30,2630.2931501462076
2487,30009,Fulton County,2023-05-31,2656.248950760082
2612,30009,Fulton County,2023-06-30,2613.4855873181773
2737,30009,Fulton County,2023-07-31,2588.870661630859
2862,30009,Fulton County,2023-08-31,2609.469023533083
2987,30009,Fulton County,2023-09-30,2621.952380952381
76,30012,Rockdale County,2021-10-31,
201,30012,Rockdale County,2021-11-30,
326,30012,Rockdale County,2021-12-31,1547.8035461572897
451,30012,Rockdale County,2022-01-31,1593.7844454089284
576,30012,Rockdale County,2022-02-28,1607.4657169773998
701,30012,Rockdale County,2022-03-31,1633.2913807357347
826,30012,Rockdale County,2022-04-30,1648.1040339987803
951,30012,Rockdale County,2022-05-31,1651.6037418356016
1076,30012,Rockdale County,2022-06-30,1692.3683059125133
1201,30012,Rockdale County,2022-07-31,1729.6027537383643
1326,30012,Rockdale County,2022-08-31,1739.378383468618
1451,30012,Rockdale County,2022-09-30,1712.7321381092002
1576,30012,Rockdale County,2022-10-31,1742.7760764349189
1701,30012,Rockdale County,2022-11-30,1758.367473268364
