,RegionName,CountyName,Date,Index
129,30002,Dekalb County,2021-10-31,488927.9772088227
266,30002,Dekalb County,2021-11-30,491963.74596438464
403,30002,Dekalb County,2021-12-31,495926.31571517413
540,30002,Dekalb County,2022-01-31,502756.4881491473
677,30002,Dekalb County,2022-02-28,510895.71992915706
814,30002,Dekalb County,2022-03-31,521375.7581044117
951,30002,Dekalb County,2022-04-30,531504.8582739827
1088,30002,Dekalb County,2022-05-31,541211.4577326857
1225,30002,Dekalb County,2022-06-30,548888.7796264387
1362,30002,Dekalb County,2022-07-31,552771.0118008488
1499,30002,Dekalb County,2022-08-31,553132.0819143456
1636,30002,Dekalb County,2022-09-30,550648.2472800052
1773,30002,Dekalb County,2022-10-31,549410.2510861756
1910,30002,Dekalb County,2022-11-30,548344.5028643043
2047,30002,Dekalb County,2022-12-31,548453.3574937595
2184,30002,Dekalb County,2023-01-31,547244.8259806159
2321,30002,Dekalb County,2023-02-28,546731.7598542034
2458,30002,Dekalb County,2023-03-31,546986.7678687462
2595,30002,Dekalb County,2023-04-30,549538.2785176267
2732,30002,Dekalb County,2023-05-31,554324.9617185364
2869,30002,Dekalb County,2023-06-30,560335.0379180029
3006,30002,Dekalb County,2023-07-31,566073.5510936683
3143,30002,Dekalb County,2023-08-31,570542.5329122583
3280,30002,Dekalb County,2023-09-30,573815.2587361434
10,30004,Fulton County,2021-10-31,586172.9485499727
147,30004,Fulton County,2021-11-30,594958.0687535453
284,30004,Fulton County,2021-12-31,604960.5380804582
421,30004,Fulton County,2022-01-31,617235.2938452893
558,30004,Fulton County,2022-02-28,631369.0067237098
695,30004,Fulton County,2022-03-31,648410.9448740694
832,30004,Fulton County,2022-04-30,667045.8360580718
969,30004,Fulton County,2022-05-31,685009.0776164295
1106,30004,Fulton County,2022-06-30,699678.5387201485
1243,30004,Fulton County,2022-07-31,707433.1497308187
1380,30004,Fulton County,2022-08-31,708654.5474398173
1517,30004,Fulton County,2022-09-30,704692.2716214485
1654,30004,Fulton County,2022-10-31,700502.1036260556
1791,30004,Fulton County,2022-11-30,697898.886406694
1928,30004,Fulton County,2022-12-31,696203.1003887454
2065,30004,Fulton County,2023-01-31,694496.5908129556
2202,30004,Fulton County,2023-02-28,694206.3906612409
2339,30004,Fulton County,2023-03-31,695716.0637780362
2476,30004,Fulton County,2023-04-30,699728.1188538754
2613,30004,Fulton County,2023-05-31,705348.2916866412
2750,30004,Fulton County,2023-06-30,712829.6093350261
2887,30004,Fulton County,2023-07-31,720800.7415401563
3024,30004,Fulton County,2023-08-31,728544.1117576862
3161,30004,Fulton County,2023-09-30,735985.9463429853
57,30005,Fulton County,2021-10-31,573687.8887888235
194,30005,Fulton County,2021-11-30,582973.5666741785
331,30005,Fulton County,2021-12-31,593807.6211037684
468,30005,Fulton County,2022-01-31,607110.6910804635
605,30005,Fulton County,2022-02-28,622859.8638574852
742,30005,Fulton County,2022-03-31,641330.2400858226
879,30005,Fulton County,2022-04-30,660900.6637805315
1016,30005,Fulton County,2022-05-31,678703.2121061248
1153,30005,Fulton County,2022-06-30,691974.98778354
1290,30005,Fulton County,2022-07-31,698287.4467421644
1427,30005,Fulton County,2022-08-31,698426.1006535537
1564,30005,Fulton County,2022-09-30,694706.6381523191
1701,30005,Fulton County,2022-10-31,690822.9981985234
1838,30005,Fulton County,2022-11-30,688274.1091684484
1975,30005,Fulton County,2022-12-31,686526.3608226053
2112,30005,Fulton County,2023-01-31,684526.9038559715
2249,30005,Fulton County,2023-02-28,684514.4747060927
2386,30005,Fulton County,2023-03-31,685863.5461934388
2523,30005,Fulton County,2023-04-30,689231.0943796732
2660,30005,Fulton County,2023-05-31,693628.4907848712
2797,30005,Fulton County,2023-06-30,700176.8208981609
2934,30005,Fulton County,2023-07-31,708114.1308337726
3071,30005,Fulton County,2023-08-31,715760.1037025428
3208,30005,Fulton County,2023-09-30,722661.7362711121
69,30008,Cobb County,2021-10-31,278359.23844340415
206,30008,Cobb County,2021-11-30,283321.40509274363
