,RegionName,CountyName,all_BR
20,30044,Gwinnett County,353960.8110288712
51,30043,Gwinnett County,404652.6802015549
89,30024,Gwinnett County,587992.972434335
127,30349,Fulton County,276441.96531700896
154,30040,Forsyth County,575886.2369866745
162,30041,Forsyth County,623720.1503560272
164,30052,Walton County,382968.2461140978
175,30047,Gwinnett County,386890.7418610112
189,30127,Cobb County,362336.63935643295
233,30281,Henry County,301961.90732454305
275,30004,Fulton County,740137.9404990505
278,30022,Fulton County,643963.0692373905
293,30318,Fulton County,392436.9681553068
301,30058,Dekalb County,266168.2700846191
303,30096,Gwinnett County,398995.68225212535
322,30135,Douglas County,320986.12574520154
338,30188,Cherokee County,440826.5565395526
351,30062,Cobb County,520873.4994252574
418,30331,Fulton County,294663.6393792474
423,30144,Cobb County,385249.5491149477
431,30101,Cobb County,426500.98753502104
469,30083,Dekalb County,268836.597718017
497,30253,Henry County,328173.8858614629
503,30066,Cobb County,429795.75196832995
558,30518,Gwinnett County,449060.15340185823
592,30114,Cherokee County,443333.8222952217
659,30075,Fulton County,671659.0535079843
813,30080,Cobb County,491735.0996501185
868,30519,Gwinnett County,458955.62373952474
907,30019,Gwinnett County,448611.43584485445
942,30115,Cherokee County,506545.4162905808
953,30236,Clayton County,272895.5306456371
966,30252,Henry County,382880.1334974501
987,30093,Gwinnett County,309744.7291663717
1019,30064,Cobb County,481024.09618573746
1025,30097,Gwinnett County,708088.5810796823
1079,30039,Gwinnett County,346336.4560980416
1117,30228,Henry County,317957.4075385274
1143,30157,Paulding County,321664.0728280924
1169,30032,Dekalb County,265975.2030547923
1236,30132,Paulding County,372326.4192605003
1301,30067,Cobb County,516839.0275832292
1346,30152,Cobb County,468189.2678624278
1400,30034,Dekalb County,262588.756466775
1401,30076,Fulton County,558093.4727145066
1448,30213,Fulton County,332737.1386655072
1460,30319,Dekalb County,769411.5843949221
1479,30045,Gwinnett County,389788.3101169586
1513,30134,Douglas County,290691.92835272284
1622,30126,Cobb County,377863.73791866936
1650,30189,Cherokee County,432673.9216072026
1670,30046,Gwinnett County,339796.80433390586
1749,30038,Dekalb County,276497.53828867344
1783,30060,Cobb County,332758.93414189434
1809,30102,Cherokee County,376158.14661945746
1825,30294,Henry County,296325.93824391306
1855,30238,Clayton County,246950.9873590035
1936,30005,Fulton County,727310.1794293267
1939,30084,Dekalb County,387567.5153899349
1941,30078,Gwinnett County,367013.9830586636
2078,30215,Fayette County,441558.02111958625
2158,30328,Fulton County,708487.229639043
2252,30350,Fulton County,757227.6173935733
2259,30338,Dekalb County,683298.6857530932
2286,30087,Dekalb County,354104.56465854385
2349,30269,Fayette County,528669.0820884769
2436,30274,Clayton County,218939.8464670356
2496,30315,Fulton County,253777.31873178625
2576,30344,Fulton County,257291.37013523257
2712,30008,Cobb County,335293.2096441859
2779,30316,Dekalb County,411749.80300922506
2813,30092,Gwinnett County,559111.3242829316
2856,30094,Rockdale County,320454.0110565299
2908,30260,Clayton County,228993.5329662657
3000,30068,Cobb County,647753.893904382
3163,30342,Fulton County,921407.7006090644
3177,30012,Rockdale County,265299.21498939017
3275,30311,Fulton County,269233.7752826219
3280,30248,Henry County,330749.05190096254
3322,30341,Dekalb County,524288.9274632082
3386,30028,Forsyth County,514219.43211746454
3431,30339,Cobb County,573611.7071322548
3458,30033,Dekalb County,503389.4822272792
3473,30324,Fulton County,676091.6143232947
3541,30030,Dekalb County,673739.341975353
3668,30340,Dekalb County,378217.50650479505
3733,30214,Fayette County,378028.24781737773
3745,30122,Douglas County,280615.3963075073
3808,30088,Dekalb County,253332.0941765946
4039,30310,Fulton County,292184.86850118777
4148,30071,Gwinnett County,349681.34060939215
4237,30329,Dekalb County,561309.8130002444
4393,30296,Clayton County,250737.7761980743
4424,30141,Paulding County,318711.64936369506
4499,30306,Fulton County,1001145.5712967446
4508,30021,Dekalb County,302661.4798603348
4512,30082,Cobb County,454111.3003751045
4515,30017,Gwinnett County,430192.0193904378
4552,30309,Fulton County,913495.1679976052
4561,30305,Fulton County,1103741.164637511
4668,30297,Clayton County,177728.89511382798
4735,30013,Rockdale County,322703.58273227717
4749,30345,Dekalb County,601096.4983837396
4896,30168,Cobb County,288803.20030541
5009,30106,Cobb County,307640.30374267924
5078,30655,Walton County,334717.00533089513
5131,30312,Fulton County,562499.9415640859
5216,30291,Fulton County,262333.35415033187
5231,30035,Dekalb County,249124.4326070369
5314,30327,Fulton County,1521514.0374719854
5396,30314,Fulton County,243251.76096610457
5556,30308,Fulton County,688095.3899086727
5622,30307,Dekalb County,762105.025268478
5974,30009,Fulton County,710044.1922812043
6324,30656,Walton County,360148.31100773806
6820,30107,Cherokee County,431069.43010674074
7217,30360,Dekalb County,492754.1262016688
7398,30273,Clayton County,252639.5456703849
7523,30354,Fulton County,235432.896501723
7942,30317,Dekalb County,551636.7766350297
8466,30337,Fulton County,312307.48389554594
8831,30288,Dekalb County,219103.52520653864
9088,30268,Fulton County,329703.33133547986
9259,30025,Walton County,341402.2144090564
9349,30290,Fayette County,497292.1998035012
9578,30313,Fulton County,512117.9957260631
10136,30187,Douglas County,341681.7977177182
10413,30326,Fulton County,620522.5508009813
11707,30183,Cherokee County,436076.2212792415
12428,30002,Dekalb County,575172.6929907188
13325,30346,Dekalb County,639806.3753924019
13476,30336,Fulton County,293509.4308840292
14282,30205,Fayette County,534445.3655603953
14318,30079,Dekalb County,306455.8597508447
18005,30641,Walton County,412517.974571928
18798,30363,Fulton County,460599.10933060903
21691,30072,Dekalb County,295826.29566805816
