,RegionName,CountyName,Date,Index
10,30004,Fulton County,2021-11-30,2058.8914566561607
136,30004,Fulton County,2021-12-31,2064.0147500877097
262,30004,Fulton County,2022-01-31,2074.0543173017018
388,30004,Fulton County,2022-02-28,2107.1096964417607
514,30004,Fulton County,2022-03-31,2129.4600689564486
640,30004,Fulton County,2022-04-30,2150.649554849213
766,30004,Fulton County,2022-05-31,2160.8982416343265
892,30004,Fulton County,2022-06-30,2155.9581340468767
1018,30004,Fulton County,2022-07-31,2154.431493236359
1144,30004,Fulton County,2022-08-31,2141.590722922251
1270,30004,Fulton County,2022-09-30,2125.602588798167
1396,30004,Fulton County,2022-10-31,2128.7309611766714
1522,30004,Fulton County,2022-11-30,2150.903127318049
1648,30004,Fulton County,2022-12-31,2177.183114918877
1774,30004,Fulton County,2023-01-31,2197.679803062427
1900,30004,Fulton County,2023-02-28,2200.6415304638767
2026,30004,Fulton County,2023-03-31,2202.113765221892
2152,30004,Fulton County,2023-04-30,2193.2640778606187
2278,30004,Fulton County,2023-05-31,2192.907319166656
2404,30004,Fulton County,2023-06-30,2202.557712485114
2530,30004,Fulton County,2023-07-31,2204.0160003840288
2656,30004,Fulton County,2023-08-31,2205.7088289308476
2782,30004,Fulton County,2023-09-30,2202.3718449225403
2908,30004,Fulton County,2023-10-31,2204.053171466215
57,30005,Fulton County,2021-11-30,2047.2629549386052
183,30005,Fulton County,2021-12-31,2045.750193890981
309,30005,Fulton County,2022-01-31,2046.7405598178896
435,30005,Fulton County,2022-02-28,2067.2730913571336
561,30005,Fulton County,2022-03-31,2084.1274897584053
687,30005,Fulton County,2022-04-30,2111.0924752450846
813,30005,Fulton County,2022-05-31,2130.921917805097
939,30005,Fulton County,2022-06-30,2156.897568547995
1065,30005,Fulton County,2022-07-31,2140.305728376082
1191,30005,Fulton County,2022-08-31,2117.8520071722764
1317,30005,Fulton County,2022-09-30,2093.299403614749
1443,30005,Fulton County,2022-10-31,2087.9955400686003
1569,30005,Fulton County,2022-11-30,2094.3501731779256
1695,30005,Fulton County,2022-12-31,2114.4198239496723
1821,30005,Fulton County,2023-01-31,2138.3956270452627
1947,30005,Fulton County,2023-02-28,2140.6674439937037
2073,30005,Fulton County,2023-03-31,2146.911370401951
2199,30005,Fulton County,2023-04-30,2142.0628708110085
2325,30005,Fulton County,2023-05-31,2132.5112345068537
2451,30005,Fulton County,2023-06-30,2108.0158253730174
2577,30005,Fulton County,2023-07-31,2094.2918477749345
2703,30005,Fulton County,2023-08-31,2088.6581666336815
2829,30005,Fulton County,2023-09-30,2090.1142452772983
2955,30005,Fulton County,2023-10-31,2079.760233918129
69,30008,Cobb County,2021-11-30,1621.8655854964288
195,30008,Cobb County,2021-12-31,1662.5252912104042
321,30008,Cobb County,2022-01-31,1664.3276170549625
447,30008,Cobb County,2022-02-28,1717.1778947143628
573,30008,Cobb County,2022-03-31,1706.378553868593
699,30008,Cobb County,2022-04-30,1720.197224892433
825,30008,Cobb County,2022-05-31,1712.9756065297177
951,30008,Cobb County,2022-06-30,1809.1303250035223
1077,30008,Cobb County,2022-07-31,1855.0288272530283
1203,30008,Cobb County,2022-08-31,1891.4411911035604
1329,30008,Cobb County,2022-09-30,1844.086548565135
1455,30008,Cobb County,2022-10-31,1823.2408457964564
1581,30008,Cobb County,2022-11-30,1843.3752426155763
1707,30008,Cobb County,2022-12-31,1859.525361929864
1833,30008,Cobb County,2023-01-31,1883.7351238924937
1959,30008,Cobb County,2023-02-28,1862.7836824940248
2085,30008,Cobb County,2023-03-31,1873.6497992484944
2211,30008,Cobb County,2023-04-30,1891.8377159031768
2337,30008,Cobb County,2023-05-31,1920.4421323566075
2463,30008,Cobb County,2023-06-30,1882.8355129749464
2589,30008,Cobb County,2023-07-31,1877.3594578978937
2715,30008,Cobb County,2023-08-31,1875.1869321418271
2841,30008,Cobb County,2023-09-30,1935.966259405028
2967,30008,Cobb County,2023-10-31,1956.9296296296295
112,30009,Fulton County,2021-11-30,2336.97926494288
238,30009,Fulton County,2021-12-31,2416.6319426644855
364,30009,Fulton County,2022-01-31,2451.3072909199777
490,30009,Fulton County,2022-02-28,2474.2899916402366
616,30009,Fulton County,2022-03-31,2424.886089943461
742,30009,Fulton County,2022-04-30,2430.8805127186292
868,30009,Fulton County,2022-05-31,2402.986818614344
994,30009,Fulton County,2022-06-30,2479.751641176735
1120,30009,Fulton County,2022-07-31,2513.356816948521
1246,30009,Fulton County,2022-08-31,2510.967832914467
1372,30009,Fulton County,2022-09-30,2520.0827517997077
1498,30009,Fulton County,2022-10-31,2500.536852880725
1624,30009,Fulton County,2022-11-30,2476.5233934291937
1750,30009,Fulton County,2022-12-31,2436.8341370347907
1876,30009,Fulton County,2023-01-31,2438.063214044206
2002,30009,Fulton County,2023-02-28,2441.95894970393
2128,30009,Fulton County,2023-03-31,2510.022894032611
2254,30009,Fulton County,2023-04-30,2531.937324500223
2380,30009,Fulton County,2023-05-31,2566.848543457924
2506,30009,Fulton County,2023-06-30,2529.978779353724
2632,30009,Fulton County,2023-07-31,2510.9872179723952
2758,30009,Fulton County,2023-08-31,2531.0928170726
2884,30009,Fulton County,2023-09-30,2551.71514210775
3010,30009,Fulton County,2023-10-31,2590.1045991045994
76,30012,Rockdale County,2021-11-30,
202,30012,Rockdale County,2021-12-31,1528.899467165161
328,30012,Rockdale County,2022-01-31,1564.8928895867489
454,30012,Rockdale County,2022-02-28,1570.8874798827767
580,30012,Rockdale County,2022-03-31,1601.2670057929663
706,30012,Rockdale County,2022-04-30,1624.0395030325672
832,30012,Rockdale County,2022-05-31,1634.007029684621
958,30012,Rockdale County,2022-06-30,1671.7754125931642
1084,30012,Rockdale County,2022-07-31,1706.9349567768863
1210,30012,Rockdale County,2022-08-31,1713.2695705935555
1336,30012,Rockdale County,2022-09-30,1692.3910706376294
1462,30012,Rockdale County,2022-10-31,1696.9608812833303
1588,30012,Rockdale County,2022-11-30,1706.6875574009728
1714,30012,Rockdale County,2022-12-31,1728.4969063898818
1840,30012,Rockdale County,2023-01-31,1734.615234799248
1966,30012,Rockdale County,2023-02-28,1738.4975715389494
2092,30012,Rockdale County,2023-03-31,1731.9794035221278
2218,30012,Rockdale County,2023-04-30,1733.6408517934194
2344,30012,Rockdale County,2023-05-31,1744.4230352641173
2470,30012,Rockdale County,2023-06-30,1741.7481560108963
2596,30012,Rockdale County,2023-07-31,1731.0240380900348
2722,30012,Rockdale County,2023-08-31,1754.8798154666192
2848,30012,Rockdale County,2023-09-30,1779.2773202253325
2974,30012,Rockdale County,2023-10-31,1805.388888888889
100,30013,Rockdale County,2021-11-30,1643.332940906458
226,30013,Rockdale County,2021-12-31,1615.8482893079763
352,30013,Rockdale County,2022-01-31,1618.6929624094614
478,30013,Rockdale County,2022-02-28,1606.201776639172
604,30013,Rockdale County,2022-03-31,1639.1552476520874
730,30013,Rockdale County,2022-04-30,1635.80917468494
856,30013,Rockdale County,2022-05-31,1649.035882226946
982,30013,Rockdale County,2022-06-30,1636.747936545829
1108,30013,Rockdale County,2022-07-31,1669.331064153596
1234,30013,Rockdale County,2022-08-31,1689.5060588542683
1360,30013,Rockdale County,2022-09-30,1689.3179467552204
1486,30013,Rockdale County,2022-10-31,1670.750490189026
1612,30013,Rockdale County,2022-11-30,1662.8243615026502
1738,30013,Rockdale County,2022-12-31,1701.7553786362148
1864,30013,Rockdale County,2023-01-31,1721.306092068683
1990,30013,Rockdale County,2023-02-28,1760.4988766400088
2116,30013,Rockdale County,2023-03-31,1754.7446158080384
2242,30013,Rockdale County,2023-04-30,1761.1334481454192
2368,30013,Rockdale County,2023-05-31,1754.621841568061
2494,30013,Rockdale County,2023-06-30,1756.824999929643
2620,30013,Rockdale County,2023-07-31,1737.7836370487453
2746,30013,Rockdale County,2023-08-31,1718.2012210337232
2872,30013,Rockdale County,2023-09-30,1715.0758904268878
2998,30013,Rockdale County,2023-10-31,1728.7037037037037
96,30017,Gwinnett County,2021-11-30,
222,30017,Gwinnett County,2021-12-31,2037.2340337547137
348,30017,Gwinnett County,2022-01-31,2094.667823855612
474,30017,Gwinnett County,2022-02-28,2123.704887283164
600,30017,Gwinnett County,2022-03-31,2114.097895132598
726,30017,Gwinnett County,2022-04-30,2090.767889683754
852,30017,Gwinnett County,2022-05-31,2078.871340515353
978,30017,Gwinnett County,2022-06-30,2097.2757504130827
1104,30017,Gwinnett County,2022-07-31,2111.7678555242874
1230,30017,Gwinnett County,2022-08-31,2124.874317271238
1356,30017,Gwinnett County,2022-09-30,2104.7355758113517
1482,30017,Gwinnett County,2022-10-31,2100.4911577424405
1608,30017,Gwinnett County,2022-11-30,2123.723590417523
1734,30017,Gwinnett County,2022-12-31,2139.2265603718715
1860,30017,Gwinnett County,2023-01-31,2127.374579208064
1986,30017,Gwinnett County,2023-02-28,2125.8998788551457
2112,30017,Gwinnett County,2023-03-31,2139.3832097194095
2238,30017,Gwinnett County,2023-04-30,2144.1401104623797
2364,30017,Gwinnett County,2023-05-31,2133.3620376154995
2490,30017,Gwinnett County,2023-06-30,2116.7278263762405
2616,30017,Gwinnett County,2023-07-31,2103.839129715764
2742,30017,Gwinnett County,2023-08-31,2088.452096467114
2868,30017,Gwinnett County,2023-09-30,2093.318325128359
2994,30017,Gwinnett County,2023-10-31,2104.554497354497
29,30019,Gwinnett County,2021-11-30,2174.0126106715043
155,30019,Gwinnett County,2021-12-31,2202.1910900027237
281,30019,Gwinnett County,2022-01-31,2210.4657719472
407,30019,Gwinnett County,2022-02-28,2216.6302793683276
533,30019,Gwinnett County,2022-03-31,2215.0313454545653
659,30019,Gwinnett County,2022-04-30,2232.3954255590465
785,30019,Gwinnett County,2022-05-31,2253.555605826437
911,30019,Gwinnett County,2022-06-30,2258.398464964239
1037,30019,Gwinnett County,2022-07-31,2265.7991106259983
1163,30019,Gwinnett County,2022-08-31,2290.11146897515
1289,30019,Gwinnett County,2022-09-30,2296.5526914043057
1415,30019,Gwinnett County,2022-10-31,2301.659604721206
1541,30019,Gwinnett County,2022-11-30,2302.553257796016
1667,30019,Gwinnett County,2022-12-31,2303.767308215255
1793,30019,Gwinnett County,2023-01-31,2323.8279650960976
1919,30019,Gwinnett County,2023-02-28,2343.3510821424716
2045,30019,Gwinnett County,2023-03-31,2366.3406847090805
2171,30019,Gwinnett County,2023-04-30,2366.3440697865826
2297,30019,Gwinnett County,2023-05-31,2363.380994374186
2423,30019,Gwinnett County,2023-06-30,2372.392069599547
2549,30019,Gwinnett County,2023-07-31,2374.0719679680747
2675,30019,Gwinnett County,2023-08-31,2363.5558291538932
2801,30019,Gwinnett County,2023-09-30,2357.1070972498915
2927,30019,Gwinnett County,2023-10-31,2361.055555555555
11,30022,Fulton County,2021-11-30,2126.169497349348
137,30022,Fulton County,2021-12-31,2157.4706891853066
263,30022,Fulton County,2022-01-31,2173.0085989572785
389,30022,Fulton County,2022-02-28,2164.024087612615
515,30022,Fulton County,2022-03-31,2158.947719042759
641,30022,Fulton County,2022-04-30,2169.5314067118215
767,30022,Fulton County,2022-05-31,2180.554403386057
893,30022,Fulton County,2022-06-30,2190.9027079913976
1019,30022,Fulton County,2022-07-31,2189.427716783872
1145,30022,Fulton County,2022-08-31,2188.153905685325
1271,30022,Fulton County,2022-09-30,2177.2230588251846
1397,30022,Fulton County,2022-10-31,2178.116153906683
1523,30022,Fulton County,2022-11-30,2172.487554629388
1649,30022,Fulton County,2022-12-31,2170.3040883650106
1775,30022,Fulton County,2023-01-31,2175.3576741039124
1901,30022,Fulton County,2023-02-28,2205.040544664911
2027,30022,Fulton County,2023-03-31,2229.408577312529
2153,30022,Fulton County,2023-04-30,2234.7225727338628
2279,30022,Fulton County,2023-05-31,2227.6544561524493
2405,30022,Fulton County,2023-06-30,2219.539429356784
2531,30022,Fulton County,2023-07-31,2216.1907818794034
2657,30022,Fulton County,2023-08-31,2202.876107618172
2783,30022,Fulton County,2023-09-30,2191.4611362565347
2909,30022,Fulton County,2023-10-31,2182.034722222222
2,30024,Gwinnett County,2021-11-30,2035.243309000036
128,30024,Gwinnett County,2021-12-31,2058.3632879815955
254,30024,Gwinnett County,2022-01-31,2062.403894988526
380,30024,Gwinnett County,2022-02-28,2067.911353395408
506,30024,Gwinnett County,2022-03-31,2086.917601553241
632,30024,Gwinnett County,2022-04-30,2104.995944023133
758,30024,Gwinnett County,2022-05-31,2122.892131416302
884,30024,Gwinnett County,2022-06-30,2113.443061153057
1010,30024,Gwinnett County,2022-07-31,2101.4477224382085
1136,30024,Gwinnett County,2022-08-31,2102.350317498551
1262,30024,Gwinnett County,2022-09-30,2104.1013972567607
1388,30024,Gwinnett County,2022-10-31,2119.110469013249
1514,30024,Gwinnett County,2022-11-30,2131.1292591133756
1640,30024,Gwinnett County,2022-12-31,2141.199817164396
1766,30024,Gwinnett County,2023-01-31,2150.297980564451
1892,30024,Gwinnett County,2023-02-28,2157.468453354493
2018,30024,Gwinnett County,2023-03-31,2160.928691402502
2144,30024,Gwinnett County,2023-04-30,2160.563539470255
2270,30024,Gwinnett County,2023-05-31,2154.094037585534
2396,30024,Gwinnett County,2023-06-30,2150.990754365693
2522,30024,Gwinnett County,2023-07-31,2146.77703606267
2648,30024,Gwinnett County,2023-08-31,2130.706677623216
2774,30024,Gwinnett County,2023-09-30,2121.576265570682
2900,30024,Gwinnett County,2023-10-31,2104.535714285714
80,30028,Forsyth County,2021-11-30,
206,30028,Forsyth County,2021-12-31,
332,30028,Forsyth County,2022-01-31,
458,30028,Forsyth County,2022-02-28,
584,30028,Forsyth County,2022-03-31,2204.403943449502
710,30028,Forsyth County,2022-04-30,2225.106705036745
836,30028,Forsyth County,2022-05-31,2276.85498879081
962,30028,Forsyth County,2022-06-30,2316.540181092212
1088,30028,Forsyth County,2022-07-31,2315.924773888352
1214,30028,Forsyth County,2022-08-31,2329.737319707921
1340,30028,Forsyth County,2022-09-30,2332.7914761668744
1466,30028,Forsyth County,2022-10-31,2361.373608973704
1592,30028,Forsyth County,2022-11-30,2387.02029871846
1718,30028,Forsyth County,2022-12-31,2396.804437630557
1844,30028,Forsyth County,2023-01-31,2404.6412029336125
1970,30028,Forsyth County,2023-02-28,2417.7161367662825
2096,30028,Forsyth County,2023-03-31,2420.884187505492
