,RegionName,CountyName,index_first,index_last,percent_change
0,30004,Fulton County,2058.8914566561607,2204.053171466215,7.050479244098239
1,30092,Gwinnett County,1455.377815357206,1475.093939393939,1.3547082983324208
2,30273,Clayton County,1547.8376970634831,1790.687830687831,15.689638137453086
3,30088,Dekalb County,1584.9646664590136,1654.0615384615385,4.3595212855372285
4,30274,Clayton County,1585.9028753412322,1721.068376068376,8.522936860055873
6,30024,Gwinnett County,2035.243309000036,2104.535714285714,3.4046251364276996
7,30087,Dekalb County,1747.5909366813053,2005.5,14.757976704117437
8,30281,Henry County,1590.9237443746008,1671.2436143039588,5.048631036739733
9,30084,Dekalb County,1851.058058701688,2037.388888888889,10.066179680927533
11,30339,Cobb County,1839.8080268939525,1793.2670760758313,-2.5296634288901214
13,30083,Dekalb County,1575.4087538393346,1635.8847222222223,3.8387477685080342
15,30082,Cobb County,1809.1521548443463,1870.6468253968253,3.3990878206576145
16,30291,Fulton County,1639.0350001732745,1849.278787878788,12.82729091711203
17,30338,Dekalb County,1855.7612607596636,1829.1555409164105,-1.433682252444584
18,30030,Dekalb County,1779.4916466732843,1849.2334682861,3.9191991568601288
19,30080,Cobb County,1713.5954239391,1812.2626676986583,5.757907752388162
20,30294,Henry County,1814.6381897500264,2028.431818181818,11.781611873893304
21,30078,Gwinnett County,1847.376451333581,2006.0303030303028,8.588062903053304
22,30022,Fulton County,2126.169497349348,2182.034722222222,2.6275057065074092
23,30296,Clayton County,1622.847609802452,1780.174873737374,9.694518634073912
24,30269,Fayette County,1809.4051987909695,1941.6732804232804,7.310031037862133
25,30093,Gwinnett County,1402.0933096677334,1498.0920098039217,6.846812510569497
26,30236,Clayton County,1664.7426095426583,1882.4940476190477,13.080186500194795
28,30106,Cobb County,1599.7689899973568,1774.184523809524,10.902544986351776
29,30013,Rockdale County,1643.332940906458,1728.7037037037037,5.194976664324365
30,30518,Gwinnett County,2014.991284413521,2202.630591630592,9.312164706046595
31,30238,Clayton County,1572.0984966150763,1742.178908810488,10.818686778316758
32,30102,Cherokee County,1816.1922070715975,2078.637806637807,14.450320761444793
33,30248,Henry County,1953.0209436000905,2126.348148148148,8.874825695855357
34,30344,Fulton County,1373.3362973106634,1558.3164983164982,13.46940304192588
35,30101,Cobb County,1878.918412395317,2064.5801790801793,9.88131072962202
36,30252,Henry County,1939.6603456403616,2067.8690476190477,6.609853228522809
38,30097,Gwinnett County,1928.8357836825303,1984.0561206938917,2.862884309722562
39,30253,Henry County,1877.5517046820048,1947.1505376344085,3.706893012791432
40,30096,Gwinnett County,1871.0333394847696,1877.567296996663,0.3492165197704359
41,30519,Gwinnett County,2158.6114221366665,2287.326210826211,5.9628512741833966
42,30342,Fulton County,1672.1297188921487,1648.4388034188032,-1.4168108613631765
44,30019,Gwinnett County,2174.0126106715043,2361.055555555555,8.603581412817912
45,30094,Rockdale County,1725.102209209138,1875.8253968253969,8.737058407997573
47,30341,Dekalb County,1861.2925220567608,1832.239475500345,-1.5609070692612985
48,30114,Cherokee County,2155.3853224835834,2314.7208624708624,7.39243875910232
52,30312,Fulton County,1847.7475605625668,1926.8537808641977,4.281224448081323
53,30327,Fulton County,1776.826722434427,1794.3353535353535,0.9853876509093699
54,30052,Walton County,1987.843656169087,2165.276785714286,8.925909690862847
58,30039,Gwinnett County,1931.8271009845416,2089.4365079365075,8.15856692721835
59,30046,Gwinnett County,1772.253247005,2054.1285714285714,15.90491228609249
60,30315,Fulton County,1595.6642183869587,1786.5189083820662,11.960830342366178
61,30326,Fulton County,2072.2202036770573,1984.0877344877345,-4.2530455514783565
62,30316,Dekalb County,1845.900725898943,1954.6188002263723,5.889703211123896
63,30045,Gwinnett County,2096.2130198259515,2296.685064935065,9.563534011717884
65,30040,Forsyth County,2135.6721164639466,2335.444444444445,9.354072960940426
66,30317,Dekalb County,2041.1597171396863,2277.9583333333335,11.601180162690907
67,30044,Gwinnett County,1949.057179927701,2056.751100158423,5.525436674706318
68,30324,Fulton County,1831.7489403485283,1755.564339683864,-4.15911804213565
69,30318,Fulton County,1719.9616732928364,1814.259929484729,5.482578923480321
70,30043,Gwinnett County,2063.1764315033283,2207.127077497666,6.977136991112701
71,30041,Forsyth County,2201.400698872151,2478.0714285714284,12.567940486301499
72,30038,Dekalb County,1679.30009258189,1836.346296296296,9.351884419475647
73,30076,Fulton County,1941.9430348108065,2015.995238095238,3.813304610742405
74,30058,Dekalb County,1711.4695358373158,1874.3167227833892,9.51505028492385
75,30060,Cobb County,1533.4165884301558,1827.871794871795,19.202557782623792
76,30032,Dekalb County,1528.7903151052858,1683.236344537815,10.102499205189742
77,30075,Fulton County,2180.7243718987584,2304.6064814814818,5.680777964381585
80,30305,Fulton County,2062.876713628116,2198.373670502939,6.5683497215166105
81,30331,Fulton County,1699.5974405154266,1853.772222222222,9.071252876212833
82,30033,Dekalb County,1876.646748853139,2071.826599326599,10.400457656335108
84,30306,Fulton County,1733.6159373873882,1928.4083333333335,11.236190885479711
85,30067,Cobb County,1505.5845188257802,1567.9477927927928,4.142130394356764
86,30307,Dekalb County,1787.154076080731,1911.977777777778,6.9844958175507825
87,30034,Dekalb County,1697.428544879142,1880.4957497212936,10.7849726808492
88,30066,Cobb County,1771.3615699400327,1894.4324045407636,6.947809904496083
89,30308,Fulton County,1902.990920083991,1989.9978787878788,4.5721163346406035
90,30329,Dekalb County,1820.964786592255,1754.736111111111,-3.637010224952452
91,30064,Cobb County,1953.9225239163425,2081.069444444445,6.507265204827853
92,30309,Fulton County,2151.5448315194135,2188.236187719896,1.7053493686474175
93,30062,Cobb County,2093.758289029725,2257.837225274725,7.8365748856825475
94,30035,Dekalb County,1684.8901169932417,1891.40873015873,12.257096832761384
95,30310,Fulton County,1690.4500764916772,2078.4969696969697,22.955241246203283
96,30328,Fulton County,2042.542311587346,2105.1652258665986,3.0659298426276296
98,30228,Henry County,1935.235254629701,2071.479419703104,7.040186186535386
99,30319,Dekalb County,1942.736498512728,2009.6907536907536,3.446388907053668
100,30009,Fulton County,2336.97926494288,2590.1045991045994,10.831304237862213
101,30188,Cherokee County,2011.6903795992475,2199.79013143719,9.350333120120322
102,30134,Douglas County,1698.7492887689234,1856.7444444444443,9.300675309775661
103,30132,Paulding County,2058.1854111211364,2134.0015151515154,3.683638199975401
104,30215,Fayette County,2032.1355056499635,2302.68253968254,13.313434723244216
105,30157,Paulding County,1830.6115147016385,1971.9423076923076,7.720414290833512
106,30189,Cherokee County,2013.842769949979,2092.242328042328,3.8930327263978306
107,30346,Dekalb County,2122.240064441807,2049.178571428571,-3.44265920888892
108,30141,Paulding County,1825.484918745453,1999.5952380952376,9.537757204230445
109,30144,Cobb County,1822.8485097153616,1858.4121554813992,1.9509929418978884
110,30152,Cobb County,1834.115153275383,2054.9496732026146,12.040384679929335
111,30122,Douglas County,1550.9784690727067,1620.5696969696971,4.486924176232914
112,30135,Douglas County,1731.5484636576775,1828.119082125604,5.577124781360918
113,30168,Cobb County,1614.5710027200048,1896.6666666666667,17.471864877507794
114,30127,Cobb County,1889.4595938198152,2103.6419413919416,11.335640533022774
115,30005,Fulton County,2047.2629549386052,2079.760233918129,1.5873524649645385
116,30115,Cherokee County,1964.7829288248715,2126.259920634921,8.21856651139717
117,30213,Fulton County,1997.16858879023,2178.0247863247864,9.055629982850311
118,30349,Fulton County,1759.104736258092,1983.409961685824,12.751101216682894
