,RegionName,CountyName,Date,Index
129,30002,Dekalb County,2021-11-30,490685.02065157314
266,30002,Dekalb County,2021-12-31,494637.2907851943
403,30002,Dekalb County,2022-01-31,501449.7100524884
540,30002,Dekalb County,2022-02-28,509567.7861237913
677,30002,Dekalb County,2022-03-31,520020.5843038149
814,30002,Dekalb County,2022-04-30,530123.3566455956
951,30002,Dekalb County,2022-05-31,539804.7264516442
1088,30002,Dekalb County,2022-06-30,547462.0932452083
1225,30002,Dekalb County,2022-07-31,551334.2346180248
1362,30002,Dekalb County,2022-08-31,551694.3662284355
1499,30002,Dekalb County,2022-09-30,549216.9876434401
1636,30002,Dekalb County,2022-10-31,547982.2092823941
1773,30002,Dekalb County,2022-11-30,546919.2311817758
1910,30002,Dekalb County,2022-12-31,547027.8028733699
2047,30002,Dekalb County,2023-01-31,545822.4126076248
2184,30002,Dekalb County,2023-02-28,545310.680056396
2321,30002,Dekalb County,2023-03-31,545565.0252472941
2458,30002,Dekalb County,2023-04-30,548109.9039415247
2595,30002,Dekalb County,2023-05-31,552884.1454675678
2732,30002,Dekalb County,2023-06-30,558878.6001163995
2869,30002,Dekalb County,2023-07-31,564602.1975952968
3006,30002,Dekalb County,2023-08-31,569059.5635169415
3143,30002,Dekalb County,2023-09-30,572323.7827844244
3280,30002,Dekalb County,2023-10-31,575172.6929907188
10,30004,Fulton County,2021-11-30,592587.7470845531
147,30004,Fulton County,2021-12-31,602550.3664270148
284,30004,Fulton County,2022-01-31,614776.2193849104
421,30004,Fulton County,2022-02-28,628853.6233439996
558,30004,Fulton County,2022-03-31,645827.6661629052
695,30004,Fulton County,2022-04-30,664388.315667212
832,30004,Fulton County,2022-05-31,682279.9914078303
969,30004,Fulton County,2022-06-30,696891.0091634333
1106,30004,Fulton County,2022-07-31,704614.7256901417
1243,30004,Fulton County,2022-08-31,705831.2573327599
1380,30004,Fulton County,2022-09-30,701884.7672793451
1517,30004,Fulton County,2022-10-31,697711.2929746808
1654,30004,Fulton County,2022-11-30,695118.4470108886
1791,30004,Fulton County,2022-12-31,693429.4170292987
1928,30004,Fulton County,2023-01-31,691729.706212679
2065,30004,Fulton County,2023-02-28,691440.6622226235
2202,30004,Fulton County,2023-03-31,692944.320779587
2339,30004,Fulton County,2023-04-30,696940.3917691809
2476,30004,Fulton County,2023-05-31,702538.1737509797
2613,30004,Fulton County,2023-06-30,709989.6857201649
2750,30004,Fulton County,2023-07-31,717929.0608177196
2887,30004,Fulton County,2023-08-31,725641.5813347722
3024,30004,Fulton County,2023-09-30,733053.767541974
3161,30004,Fulton County,2023-10-31,740137.9404990505
57,30005,Fulton County,2021-11-30,581496.6558002373
194,30005,Fulton County,2021-12-31,592303.2631315185
331,30005,Fulton County,2022-01-31,605572.6309820306
468,30005,Fulton County,2022-02-28,621281.9046523698
605,30005,Fulton County,2022-03-31,639705.487850874
742,30005,Fulton County,2022-04-30,659226.3316448556
879,30005,Fulton County,2022-05-31,676983.7788222854
1016,30005,Fulton County,2022-06-30,690221.931654798
1153,30005,Fulton County,2022-07-31,696518.3985688251
1290,30005,Fulton County,2022-08-31,696656.7012130539
1427,30005,Fulton County,2022-09-30,692946.6616341048
1564,30005,Fulton County,2022-10-31,689072.8605313412
1701,30005,Fulton County,2022-11-30,686530.4288813948
1838,30005,Fulton County,2022-12-31,684787.1082981201
1975,30005,Fulton County,2023-01-31,682792.7167751099
2112,30005,Fulton County,2023-02-28,682780.3191133597
2249,30005,Fulton County,2023-03-31,684125.972849948
2386,30005,Fulton County,2023-04-30,687484.9896570272
2523,30005,Fulton County,2023-05-31,691871.2456556284
2660,30005,Fulton County,2023-06-30,698402.9861660557
2797,30005,Fulton County,2023-07-31,706320.1876438848
2934,30005,Fulton County,2023-08-31,713946.7901310165
3071,30005,Fulton County,2023-09-30,720830.938036865
3208,30005,Fulton County,2023-10-31,727310.1794293267
69,30008,Cobb County,2021-11-30,282591.3998286996
206,30008,Cobb County,2021-12-31,288126.8299072856
343,30008,Cobb County,2022-01-31,294427.4375805977
480,30008,Cobb County,2022-02-28,301601.1219372752
617,30008,Cobb County,2022-03-31,309565.7557600567
754,30008,Cobb County,2022-04-30,317142.33374501765
891,30008,Cobb County,2022-05-31,323404.92537493724
1028,30008,Cobb County,2022-06-30,327914.8073918078
1165,30008,Cobb County,2022-07-31,330463.78146321303
1302,30008,Cobb County,2022-08-31,331349.0520095398
1439,30008,Cobb County,2022-09-30,330932.33199165016
1576,30008,Cobb County,2022-10-31,329863.3493249915
1713,30008,Cobb County,2022-11-30,328626.1171016498
1850,30008,Cobb County,2022-12-31,327100.3419533342
1987,30008,Cobb County,2023-01-31,325835.1378401631
